UA,State,UA Number,Census Division,Census Division 2,Census Division 3,Total Number of Census Divisions,Weight Factor - 1st,LDV Car - 100 mi,LDV Car - 200 mi,LDV Car - 300 mi,LDV Truck - 100 mi,LDV Truck - 200 mi,LDV Truck  - 300 mi,Transit Bus,MDV Truck,HDV Truck
Manhattan,KS,192,4,0,0,1,1,54460946.39,117177299.9,270170839.5,144996656.4,199991938,241907265.9,927594.3059,40577.52325,14915.92943
Topeka,KS,193,4,0,0,1,1,44780887.95,96349838.46,222149822.3,119224496.5,164444744.4,198909910.6,692637.997,44872.29643,59764.61073
Wichita,KS,194,4,0,0,1,1,143463964.4,308674758.9,711698576.3,381958011.5,526829547.8,637245164.8,2218995.591,143756.8086,191467.1275
Bowling Green,KY,195,6,0,0,1,1,26576611.37,57181809.55,131841724.1,70757487.14,97594850.3,118049275.6,127159.5602,31621.65154,23076.63432
Elizabethtown--Radcliff,KY,196,6,0,0,1,1,17488103.72,37627122.76,86755294.77,46560272.82,64219958.04,77679503.6,793174.6015,40569.3709,39067.28301
Owensboro,KY,197,6,0,0,1,1,17956307.46,38634502.32,89077967.88,47806816.93,65939299.57,79759193.47,85914.49555,21364.95468,15591.57168
Louisville/Jefferson County,KY--IN,198,6,3,0,2,0.5,0,0,0,0,0,0,0,0,0
Alexandria,LA,199,7,0,0,1,1,25757902.66,55420290.17,127780263.3,68577760.49,94588382.64,114412697.1,474135.4031,46071.44673,29562.50169
Baton Rouge,LA,200,7,0,0,1,1,194943212.3,419436688.5,967077767.8,519016206.4,715872072.6,865908183.9,3588393.038,348681.9537,223737.5115
Hammond,LA,201,7,0,0,1,1,0,0,0,0,0,0,0,0,0
Houma,LA,202,7,0,0,1,1,45888647.88,98733278.67,227645223.6,122173794.4,168512671.3,203830414.4,844689.6027,82077.97135,52666.68053
Lafayette,LA,203,7,0,0,1,1,75470420.48,162380946.1,374395009.2,200932214.4,277143100.7,335228161.8,1389212.418,134988.9198,86617.86102
Lake Charles,LA,204,7,0,0,1,1,49302652.03,106078795.2,244581476.3,131263228.5,181049605.5,218994903,907532.4613,88184.37344,56584.95388
Mandeville--Covington,LA,205,7,0,0,1,1,95746440.53,206006507.9,474980659.6,254915029.4,351600871.3,425291170.8,6780276.764,134763.1962,76515.39309
Monroe,LA,206,7,0,0,1,1,39824520.82,85685800.17,197562193.8,106028681.2,146243933.9,176894481.7,733064.9349,71231.47075,45706.84498
New Orleans,LA,207,7,0,0,1,1,199951860.6,430213220.1,991924774.6,532351219.5,734264876.7,888155845.5,1059571.139,115963.4205,58773.60778
Shreveport,LA,208,7,0,0,1,1,956453312.7,2057890162,4744792625,2546458774,3512296336,4248421272,30361970.24,1026130.794,594407.6954
Slidell,LA,209,7,0,0,1,1,111850670.7,240656108.9,554870804.1,297790880.3,410738955.8,496823716,2058877.369,200059.853,128371.6957
Barnstable Town,MA,210,1,0,0,1,1,125033662.8,269020425.9,620269236,332889239.8,459149651,555380571,10162531.39,123001.6675,56425.50328
Leominster--Fitchburg,MA,211,1,0,0,1,1,37626220.03,80955972.25,186656826.8,100175932.6,138171316.5,167129964,3058197.557,37014.73427,16980.05444
New Bedford,MA,212,1,0,0,1,1,21460968.56,46175077.1,106463960.9,57137617.49,78809147.29,95326369.35,240775.6148,17347.33272,26134.01779
Pittsfield,MA,213,1,0,0,1,1,14309320.47,30787704.68,70985933.48,38097090.85,52546805,63559831.74,1163038.138,14076.77131,6457.545837
Springfield,MA--CT,214,1,0,0,1,1,65420843.1,140758440.9,324540901.3,174176253.9,240238964.3,290589468.7,1122358.315,41514.50094,43481.47079
Worcester,MA--CT,215,1,0,0,1,1,173110640.3,372462080.5,858770367.6,460889237,635698325.4,768931214.8,14070149.4,170297.3178,78121.8016
Boston,MA--NH--RI,216,1,0,0,1,1,1335397874,2873220672,6624665709,3555359196,4903859118,5931634863,108538952.7,1313695.54,602641.6837
Aberdeen--Bel Air South--Bel Air North,MD,217,5,0,0,1,1,56401864.21,121353347.7,279799379.7,150164150.1,207119392.5,250528528.6,544343.4354,59832.96887,23441.12098
Baltimore,MD,218,5,0,0,1,1,732638324.6,1576332885,3634485342,1950574027,2690400519,3254268348,7070809.948,777207.0425,304491.0633
Frederick,MD,219,5,0,0,1,1,53007732.09,114050587.4,262961708.2,141127623.2,194655432.5,235452308.4,511586.1221,56232.36091,22030.48921
Lexington Park--California--Chesapeake Ranch Estates,MD,220,5,0,0,1,1,0,0,0,0,0,0,0,0,0
Waldorf,MD,221,5,0,0,1,1,0,0,0,0,0,0,0,0,0
Westminster--Eldersburg,MD,222,5,0,0,1,1,22184768.78,47732393.17,110054598.9,59064660.29,81467091.5,98541379.04,214108.7608,23534.33877,9220.189016
Salisbury,MD--DE,223,5,0,0,1,1,28179473.69,60630503.23,139793235,75024943.47,103480895.4,125168948,797687.3689,122759.774,38186.93963
Cumberland,MD--WV--PA,224,5,2,0,2,0.66666,18457440.99,39712734.42,91564004.37,49141034.25,67779567.57,81985154.2,178135.7227,19580.26579,7671.078136
Hagerstown,MD--WV--PA,225,5,2,0,2,0.666666,57922576.09,124625287,287343354.5,154212888.8,212703763.3,257283300.2,559020.0696,61446.19049,24073.14249
Bangor,ME,226,1,0,0,1,1,24119503.75,51895137.88,119652466.6,64215692.69,88571841.21,107135178.3,116632.768,16994.38088,6982.644012
Lewiston,ME,227,1,0,0,1,1,22319881.54,48023099.56,110724868.4,59424384.04,81963253.63,99141529.35,107930.4779,15726.38359,6461.649825
Portland,ME,228,1,0,0,1,1,428295648.1,921514295.6,2124697573,1140293202,1572791077,1902424633,35731803.99,1022373.344,508394.8251
Ann Arbor,MI,229,3,0,0,1,1,121671707.6,261786902.2,603591206.9,323938384.6,446803856.8,540447282.4,2087396.71,77209.95296,80868.18434
Battle Creek,MI,230,3,0,0,1,1,31562168.39,67908657.27,156574175.6,84031021.22,115902857.3,140194367.9,541479.7555,20028.5965,20977.55758
Bay City,MI,231,3,0,0,1,1,26087261.82,56128935.76,129414160.1,69454646.6,95797859.87,115875662.8,447552.3981,16554.35185,17338.70215
Benton Harbor--St. Joseph--Fair Plain,MI,232,3,0,0,1,1,28076938.33,60409891.95,139284583.3,74751955.3,103104366.5,124713504.2,481687.2375,17816.95294,18661.12566
Detroit,MI,233,3,0,0,1,1,1303239255,2804028761,6465132860,3469740233,4785766034,5788791229,22358339.4,827004.4333,866188.1583
Flint,MI,234,3,0,0,1,1,145023791.6,312030873.1,719436647.4,386110902.1,532557573.9,644173699.9,2488024.468,92028.62645,96388.97114
Grand Rapids,MI,235,3,0,0,1,1,217061339.8,467025710.9,1076801819,577903451.6,797094457.8,964153569.8,3723898.807,137741.9301,144268.1852
Holland,MI,236,3,0,0,1,1,25085916.17,53974456.47,124446666.5,66788667,92120710.06,111427837.2,430373.3377,15918.92188,16673.1653
Jackson,MI,237,3,0,0,1,1,30950501.89,66592605.41,153539809.4,82402522.21,113656690.5,137477438,530986.0207,19640.44759,20571.01805
Kalamazoo,MI,238,3,0,0,1,1,72971464.93,157004238.1,361998162.6,194279006.5,267966420.6,324128186.4,1251896.59,46305.9448,48499.93474
Lansing,MI,239,3,0,0,1,1,95898812.25,206334352.4,475736561.7,255320706.4,352160416.2,425967987.9,1645237.576,60855.09056,63738.42351
Midland,MI,240,3,0,0,1,1,0,0,0,0,0,0,0,0,0
Monroe,MI,241,3,0,0,1,1,23661379.9,50909446.99,117379801.2,62995985.97,86889516.13,105100263,405934.0299,15014.94526,15726.358
Muskegon,MI,242,3,0,0,1,1,52522612.96,113006814.9,260555128,139836045.2,192873976.3,233297485.5,901076.6077,33329.59286,34908.75924
Port Huron,MI,243,3,0,0,1,1,9501714.394,20443741.81,47136293.83,25297339.31,34892279.85,42205181.39,124892.1642,10920.73598,7712.078886
Saginaw,MI,244,3,0,0,1,1,48503598.59,104359567.8,240617528.9,129135833.5,178115318.3,215445632.9,832126.4998,30779.22255,32237.55161
South Lyon--Howell,MI,245,3,0,0,1,1,34678542.35,74613815.64,172034002.9,92328059.56,127346850.7,154036851.6,455820.7103,39857.56563,28146.88415
Mankato,MN,246,4,0,0,1,1,26645273.13,57329542.24,132182346.6,70940292.89,97846991.81,118354262.2,490469.5652,47658.62725,30580.94218
Rochester,MN,247,4,0,0,1,1,32100594.63,69067123.25,159245198.6,85464523.07,117880067.1,142585971.4,243477.3653,22279.98089,14805.2466
St. Cloud,MN,248,4,0,0,1,1,201989361,434597073.4,1002032443,537775854.3,741747002.6,897206113.3,16417364.54,198706.7135,91154.26274
Duluth,MN--WI,249,4,3,0,2,0.5,39486076.77,84957607.86,195883229.2,105127607.7,145001095.3,175391162.6,299494.9486,27406.00434,18211.53504
Minneapolis--St. Paul,MN--WI,250,4,3,0,2,0.5,919213242.4,1977764432,4560049339,2447310471,3375542415,4083005769,6972070.798,637996.078,423954.1008
Columbia,MO,251,4,0,0,1,1,35155399.67,75639792.49,174399529,93597626.35,129097947.1,156154951.7,245174.2274,35460.76202,40110.01501
Jefferson City,MO,252,4,0,0,1,1,23109152.28,49721280.35,114640291.7,61525734.9,84861618.6,102647348.4,161163.537,23309.88005,26366.03348
Joplin,MO,253,4,0,0,1,1,27414911.83,58985483.34,136000379.8,72989375.68,100673264.1,121772879.1,191191.9617,27653.03974,31278.62392
Lees Summit,MO,254,4,0,0,1,1,42804488.77,92097452.44,212345275.7,113962539.5,157186997.9,190131048.7,662363.7533,44486.81173,32727.54785
Springfield,MO,255,4,0,0,1,1,69444239.31,149415113,344500228,184888129.6,255013710.3,308460781.2,2268750.525,51447.27141,40132.76693
Cape Girardeau,MO--IL,256,4,3,0,2,0.5,0,0,0,0,0,0,0,0,0
St. Louis,MO--IL,257,4,3,0,2,0.5,0,0,0,0,0,0,0,0,0
Kansas City,MO--KS,258,4,0,0,1,1,584164784.6,1256879555,2897935003,1555278499,2145174715,2594771346,4073973.02,589238.8822,666493.8672
St. Joseph,MO--KS,259,4,0,0,1,1,26886541.9,57848654.02,133379243.2,71582647.47,98732982.85,119425943.7,301646.3884,21732.93282,32740.99034
Gulfport,MS,260,6,0,0,1,1,90157643,193981735,447255632.8,240035427.6,331077636.8,400466572.4,516874.1959,98253.80971,125480.2477
Hattiesburg,MS,261,6,0,0,1,1,26769146.53,57596065.25,132796856.4,71270092.27,98301879.66,118904487.7,153467.6443,29173.01897,37256.95377
Jackson,MS,262,6,0,0,1,1,195258350.1,420114726.4,968641082.4,519855222.4,717029316.1,867307968.3,1119417.049,212792.5724,271758.0597
Pascagoula,MS,263,6,0,0,1,1,24191222.45,52049445.24,120008244.9,64406635.22,88835205.67,107453740.1,138688.3933,26363.59701,33669.03219
Billings,MT,264,8,0,0,1,1,29699726.52,63901454.83,147334932.3,79072459.91,109063580.4,131921680.5,2766997.252,18997.56644,31491.52297
Great Falls,MT,265,8,0,0,1,1,13924535.92,29959807.95,69077085.79,37072641.3,51133795.5,61850676.53,1297289.811,8906.893337,14764.60877
Missoula,MT,266,8,0,0,1,1,18972831.92,40821640.6,94120762.53,50513208.95,69672189.68,84274441.68,1767618.087,12136.05906,20117.4705
Asheville,NC,267,5,0,0,1,1,131762220.2,283497474.3,653648356.4,350803324.2,483858306.7,585267792.4,3010300.588,100161.5844,192543.5631
Burlington,NC,268,5,0,0,1,1,41851491.22,90046995.56,207617619.1,111425279.7,153687389.6,185897974.7,956158.5137,31814.21553,61157.4033
Concord,NC,269,5,0,0,1,1,60908939.87,131050695.7,302158148.1,162163771.6,223670309,270548270.4,1391553.795,46301.10145,89005.97068
Durham,NC,270,5,0,0,1,1,129736284.6,279138504,643598059.4,345409479.8,476418649.5,576268894.1,2964015.128,98621.53059,189583.0722
Fayetteville,NC,271,5,0,0,1,1,107137565.9,230515464.1,531489935.1,285242721.4,393431449.1,475888813.9,2447714.354,81442.68014,156559.6622
Goldsboro,NC,272,5,0,0,1,1,21845269.81,47001931.27,108370401.5,58160778.24,80220379.14,97033374.36,499087.1318,16606.10176,31922.39839
Greensboro,NC,273,5,0,0,1,1,129536219.2,278708046.4,642605571.4,344876826.2,475683967.7,575380233.9,2959444.341,98469.44703,189290.7175
Greenville,NC,274,5,0,0,1,1,31764621.04,68344247.87,157578494.8,84570028.02,116646302.2,141093627.6,725709.2151,24146.48727,46417.50349
Hickory,NC,275,5,0,0,1,1,89340201.06,192222940.1,443200452.3,237859072.8,328075819.8,396835619.3,2041107.53,67913.67115,130552.4498
High Point,NC,276,5,0,0,1,1,63643698.4,136934758.1,315724786.6,169444784.2,233712911.8,282695652.9,1454033.352,48379.98072,93002.2615
Jacksonville,NC,277,5,0,0,1,1,28909964.19,62202214.1,143417062.6,76969798.53,106163407.8,128413675,660490.4052,21976.465,42246.00577
New Bern,NC,278,5,0,0,1,1,38591419.34,83032679.61,191445004.8,102745676.3,141715729.3,171417232.9,3136647.377,37964.24756,17415.63199
Raleigh,NC,279,5,0,0,1,1,327789159.4,705265884.8,1626102270,872704836.1,1203710042,1455989717,7488822.653,249175.2304,478996.8824
Rocky Mount,NC,280,5,0,0,1,1,20023982.27,43083278.27,99335325.99,53311787.95,73532232.06,88943491.39,457477.1547,15221.61503,29260.95877
Wilmington,NC,281,5,0,0,1,1,67265051.41,144726403,333689658.8,179086263.2,247011274,298781153.6,1536768.457,51132.82182,98294.12901
Charlotte,NC--SC,282,5,0,0,1,1,421821392.1,907584124.6,2092579035,1123055959,1549015979,1873666629,9637126.506,320655.6396,616405.7778
Gastonia,NC--SC,283,5,0,0,1,1,53805086.28,115766158.5,266917225.3,143250494,197583479.6,238994030.5,1229255.872,40900.97059,78625.14012
Bismarck,ND,284,4,0,0,1,1,18626820.17,40077167.27,92404261.28,49591988.34,68401562.49,82737509.97,615649.2919,12938.88578,15512.9106
Fargo,ND--MN,285,4,0,0,1,1,43858097.03,94364377.52,217572028.9,116767661.7,161056065.2,194811014.8,1449587.537,30465.47411,36526.18814
Grand Forks,ND--MN,286,4,0,0,1,1,10807020.41,23252211.63,53611659.33,28772577.67,39685629.37,48003145.49,357191.104,7506.960466,9000.373648
Grand Island,NE,287,4,0,0,1,1,0,0,0,0,0,0,0,0,0
Lincoln,NE,288,4,0,0,1,1,71782824.63,154446775.5,356101523.2,191114371.8,263601482.4,318848422.3,1752906.832,73143.12692,16924.69852
Omaha,NE--IA,289,4,0,0,1,1,196101097.8,421927980.5,972821841.3,522098960.4,720124073.6,871051340.9,4788707.549,199817.2621,46236.01784
Manchester,NH,290,1,0,0,1,1,3049164.851,6560535.958,15126357.67,8118088.447,11197170.2,13543930.1,40078.74593,3504.53854,2474.85863
Nashua,NH--MA,291,1,0,0,1,1,73581826.21,158317478.6,365026042.9,195904028.1,270207791,326839314.7,1253266.561,54824.02459,20152.81407
Dover--Rochester,NH--ME,292,1,0,0,1,1,27869662.44,59963919.29,138256321.2,74200103.71,102343205,123792814.6,474684.0057,20765.00595,7633.027806
Portsmouth,NH--ME,293,1,0,0,1,1,36051369.07,77567548.22,178844278.2,95983054.32,132388135.8,160134714.9,614037.1567,26860.99607,9873.858471
Atlantic City,NJ,294,2,0,0,1,1,69685406.22,149934001.4,345696604.3,185530209.7,255899322.8,309532004.8,2938307.231,141966.8391,120386.8513
Trenton,NJ,295,2,0,0,1,1,82030214.81,176494893.4,406936950.7,218396989.9,301232030.6,364365772.2,3458829.996,167116.3438,141713.4491
Twin Rivers--Hightstown,NJ,296,2,0,0,1,1,0,0,0,0,0,0,0,0,0
Villas,NJ,297,2,0,0,1,1,0,0,0,0,0,0,0,0,0
Vineland,NJ,298,2,0,0,1,1,28081594.07,60419907.01,139307672,74764349.07,103121461.1,124734181.6,1184069.311,57209.32634,48513.09438
Albuquerque,NM,299,8,0,0,1,1,208331871.7,448243518.1,1033496485,554662135.5,765038023.1,925378584.4,14085925.03,230060.8642,143589.305
Farmington,NM,300,8,0,0,1,1,19422024.58,41788116.98,96349127.82,51709138.6,71321719.37,86269688.19,1313179.688,21447.73972,13386.30997
Las Cruces,NM,301,8,0,0,1,1,37034040.51,79681848.34,183719132.3,98599315.73,135996710,164499592.4,2503979.415,40896.68707,25525.10134
Los Lunas,NM,302,8,0,0,1,1,0,0,0,0,0,0,0,0,0
Santa Fe,NM,303,8,0,0,1,1,13452031.07,28943182.1,66733103.4,35814651.99,49398667.77,59751891.9,176815.8043,15461.00773,10918.35857
Carson City,NV,304,8,0,0,1,1,14927365.67,32117480.89,74051943.38,39742572.54,54816395.75,66305094.88,362615.4629,12113.63687,7634.653312
Las Vegas--Henderson,NV,305,8,0,0,1,1,481170139.9,1035277966,2386997461,1281065903,1766956970,2137284802,11688581.69,390472.1354,246096.1487
Reno,NV--CA,306,8,9,0,2,0.5,100237926,215670316,497262101.1,266873146.4,368094541.2,445241668,2434978.999,81343.61164,51267.03735
Albany--Schenectady,NY,307,2,0,0,1,1,181788250.2,391132676.2,901818372.6,483992470.7,667564304.9,807475828.5,8245023.318,421717.2466,406103.0935
Buffalo,NY,308,2,0,0,1,1,237973657.9,512020295.8,1180543938,633580324.7,873888820,1057042885,10793317.8,552057.6584,531617.6293
Elmira,NY,309,2,0,0,1,1,0,0,0,0,0,0,0,0,0
Glens Falls,NY,310,2,0,0,1,1,23586463.12,50748254.8,117008144.2,62796525.89,86614403.52,104767490.9,1069766.27,54716.50821,52690.62014
Ithaca,NY,311,2,0,0,1,1,11403843.86,24536327.09,56572390.69,30361558.35,41877289.06,50654144.37,517222.4192,26454.94211,25475.44335
Kingston,NY,312,2,0,0,1,1,39466009.93,84914432.38,195783681.3,105074181.8,144927405.7,175302028.7,1789984.621,91554.30575,88164.49194
Middletown,NY,313,2,0,0,1,1,0,0,0,0,0,0,0,0,0
Rochester,NY,314,2,0,0,1,1,181855029.8,391276358,902149653.8,484170264.3,667809533.4,807772453.1,8248052.111,421872.1636,406252.2747
Saratoga Springs,NY,315,2,0,0,1,1,47414909.65,102017186.6,235216827.3,126237330.2,174117451.6,210609873.1,623229.7072,54496.02968,38484.37329
Syracuse,NY,316,2,0,0,1,1,115363930.7,248215178.3,572299431.3,307144569.4,423640373.4,512429078.3,5232342.01,267624.333,257715.4963
Utica,NY,317,2,0,0,1,1,47370002.61,101920535.9,234993948.2,126117747.3,173952512.5,210410365.1,2148470.958,109890.1994,105821.496
Watertown,NY,318,2,0,0,1,1,0,0,0,0,0,0,0,0,0
Poughkeepsie--Newburgh,NY--NJ,319,2,0,0,1,1,150582449.1,323990776.2,747012081.4,400910243,552970105.8,668864394,6829681.249,349325.1942,336391.3692
New York--Newark,NY--NJ--CT,320,2,1,0,2,0.666666,189519800.1,407767761.8,940173207.5,504576930.5,695956173.4,841818209.2,3488562.249,338981.4571,217513.0283
Binghamton,NY--PA,321,2,0,0,1,1,55311347.98,119007006.9,274389515,147260760.4,203114786.1,245684616.4,2508651.429,128312.7449,123561.9436
Akron,OH,322,3,0,0,1,1,188939157.1,406518471.9,937292786.7,503031037.8,693823944.5,839239096.9,2119752.498,152723.3225,230079.9835
Canton,OH,323,3,0,0,1,1,75789681.4,163067867.7,375978821.8,201782217.5,278315498.5,336646276.8,850302.1233,61262.32449,92292.61372
Cleveland,OH,324,3,0,0,1,1,521008708.9,1120994014,2584629423,1387132004,1913252515,2314241712,5845318.298,421141.823,634456.4937
Columbus,OH,325,3,0,0,1,1,414602620.6,892052374.8,2056768177,1103836757,1522507192,1841601996,4651523.56,335131.6407,504880.8599
Dayton,OH,326,3,0,0,1,1,251304402.5,540702537.6,1246675424,669072077.7,922842117.6,1116256064,2819442.741,203134.4052,306025.0383
Lima,OH,327,3,0,0,1,1,22141395.54,47639072.92,109839435.3,58949184.22,81307816.91,98348722.86,248409.4839,17897.33554,26962.60531
Lorain--Elyria,OH,328,3,0,0,1,1,81615871.34,175603404.9,404881490.2,217293847.9,299710481.7,362525329.4,915667.508,65971.75106,99387.43572
Mansfield,OH,329,3,0,0,1,1,0,0,0,0,0,0,0,0,0
Middletown,OH,330,3,0,0,1,1,27140269.73,58394570.76,134637940.8,72258171.67,99664724.29,120552964.3,304493.0201,21938.02613,33049.96649
Newark,OH,331,3,0,0,1,1,3286430817,7071031703,16303384225,8749783162,12068458227,14597827106,149056381.2,7623950.138,7341672.081
Springfield,OH,332,3,0,0,1,1,101264802.4,217879783.4,502356446.7,269607142.5,371865505.3,449802969.9,3214583.374,108641.9282,62933.10611
Cincinnati,OH--KY--IN,333,3,6,0,2,0.5,571295334.2,1229189914,2834092223,1521014962,2097915479,2537607279,6409495.682,461789.514,695692.852
Toledo,OH--MI,334,3,0,0,1,1,160463425.4,345250542.5,796029862,427217336.3,589255125.7,712754213,1800276.618,129705.8155,195403.763
Youngstown,OH--PA,335,3,2,0,2,0.5,124918204.7,268772013.5,619696488.4,332581848.6,458725670.4,554867730.4,1401486.492,100973.8984,152118.6974
Lawton,OK,336,7,0,0,1,1,22291054.58,47961075.45,110581861.5,59347634.86,81857394.52,99013483.75,660807.0016,48380.82155,31581.63077
Norman,OK,337,7,0,0,1,1,0,0,0,0,0,0,0,0,0
Oklahoma City,OK,338,7,0,0,1,1,372456329.3,801371063.5,1847688007,991626580.8,1367737205,1654394528,11041278.88,808384.5087,527690.5239
Tulsa,OK,339,7,0,0,1,1,241688592.6,520013299,1198973085,643470962.6,887530843.9,1073544074,7164735.687,524564.3552,342420.762
Albany,OR,340,9,0,0,1,1,0,0,0,0,0,0,0,0,0
Bend,OR,341,9,0,0,1,1,16808230.47,36164328.84,83382604.14,44750188.4,61723332.95,74659623.11,1402275.272,40122.4875,19951.67923
Corvallis,OR,342,9,0,0,1,1,9676382.273,20819554.51,48002789.72,25762374.61,35533696.78,42981029.75,807280.1958,23098.23914,11486.04403
Eugene,OR,343,9,0,0,1,1,53353428.29,114794411.5,264676748.7,142048026.6,195924932.5,236987876.6,4451164.167,127358.5738,63331.50235
Grants Pass,OR,344,9,0,0,1,1,0,0,0,0,0,0,0,0,0
Medford,OR,345,9,0,0,1,1,33765120.92,72648512.21,167502683.7,89896168.76,123992576.4,149979571.5,2816952.933,80599.83738,40079.82061
Salem,OR,346,9,0,0,1,1,20422147.76,43939966.03,101310556.9,54371863.51,74994380.02,90712083.75,316015.6991,21224.78901,15614.40955
Portland,OR--WA,347,9,0,0,1,1,148645838.2,319824004.6,737404940.3,395754223.2,545858477.1,660262274,2300170.335,154487.9896,113651.9538
Altoona,PA,348,2,0,0,1,1,18901256.44,40667640.6,93765691.92,50322647.12,69409350.31,83956515.1,1542988.507,22950.90013,14733.55569
Bloomsburg--Berwick,PA,349,2,0,0,1,1,0,0,0,0,0,0,0,0,0
Chambersburg,PA,350,2,0,0,1,1,0,0,0,0,0,0,0,0,0
Erie,PA,351,2,0,0,1,1,39524498.82,85040278.55,196073842.5,105229904.3,145142191.6,175561830.6,3226549.917,47992.72619,30809.40181
Hanover,PA,352,2,0,0,1,1,0,0,0,0,0,0,0,0,0
Harrisburg,PA,353,2,0,0,1,1,140911120.3,303182109.3,699034412.5,375161334,517454982,625905829.9,11503163.28,171101.6968,109840.4143
Hazleton,PA,354,2,0,0,1,1,13291859.54,28598552.08,65938495.17,35388206.03,48810476.59,59040424.62,1085070.009,16139.67526,10361.023
Johnstown,PA,355,2,0,0,1,1,14562634.48,31332731.08,72242578.27,38771513.32,53477026.84,64685014.21,1188808.675,17682.71705,11351.59384
Lancaster,PA,356,2,0,0,1,1,93631697.75,201456461.1,464489805.2,249284744.6,343835095.2,415897803.9,7643546.549,113692.5342,72986.03865
Lebanon,PA,357,2,0,0,1,1,11288934.99,24289091.7,56002351.13,30055625.85,41455320.48,50143737.46,921562.9125,13707.61887,8799.740528
Monessen--California,PA,358,2,0,0,1,1,17109369.83,36812246.06,84876468.65,45551933.69,62829169.45,75997226.45,1396709.318,20775.09712,13336.77758
Pittsburgh,PA,359,2,0,0,1,1,448587695.8,965174100.7,2225361885,1194318504,1647307448,1992558525,36620087.18,544698.7843,349674.7329
Pottstown,PA,360,2,0,0,1,1,22170671.51,47702061.68,109984664.8,59027127.74,81415323.35,98478761.05,1809884.513,26920.79593,17282.06928
Reading,PA,361,2,0,0,1,1,64628758.39,139054201.3,320611503.6,172067407.9,237330261.3,287071145,5275915.476,78475.63912,50378.20707
Scranton,PA,362,2,0,0,1,1,29983703.54,64512473.02,148743753.1,79828533.11,110106422,133183086.1,394110.9435,34461.58202,24336.3121
State College,PA,363,2,0,0,1,1,14660902.36,31544162.67,72730067.32,39033141.42,53837886.94,65121505.21,1196830.692,17802.03908,11428.19378
Uniontown--Connellsville,PA,364,2,0,0,1,1,14817583.83,31881276.03,73507335.6,39450289.7,54413253.96,65817460.58,1209621.255,17992.28997,11550.32721
Williamsport,PA,365,2,0,0,1,1,24905237.04,53585709.09,123550346.5,66307626.63,91457217.55,110625286.5,2033118.519,30241.2493,19413.66692
York,PA,366,2,0,0,1,1,58010911.86,124815348.7,287781571.8,154448073.6,213028150.5,257675674.2,4735673.023,70439.90164,45219.58649
Allentown,PA--NJ,367,2,0,0,1,1,184302837.4,396543032.7,914292820.6,490687308.3,676798404.4,818645257.5,15045410.37,223790.2029,143664.3181
East Stroudsburg,PA--NJ,368,2,0,0,1,1,0,0,0,0,0,0,0,0,0
Philadelphia,PA--NJ--DE--MD,369,2,5,0,2,0.5,1345143573,2894189366,6673012360,3581306119,4939647360,5974923786,109809688,1633344.106,1048541.287
Providence,RI--MA,370,1,0,0,1,1,344973637.3,742239751.6,1711351404,918456752.2,1266815045,1532320587,1858623.214,495339.0947,108912.3272
Anderson,SC,371,5,0,0,1,1,24983463.45,53754019.8,123938413.6,66515896.39,91744481.23,110972756.4,816212.3506,18508.82143,14438.28207
Charleston--North Charleston,SC,372,5,0,0,1,1,159744040.8,343702719.7,792461103.1,425302044,586613388.8,709558807.4,5218854.437,118345.2379,92318.24586
Columbia,SC,373,5,0,0,1,1,182719212.1,393135730.2,906436745,486471069.5,670983002.9,811611034.6,5969455.674,135366.2304,105595.9087
Florence,SC,374,5,0,0,1,1,29329360.48,63104582.26,145497617.6,78086399.32,107703520.3,130276572.1,958193.259,21728.44838,16949.83486
Greenville,SC,375,5,0,0,1,1,126198359.5,271526369,626047085.5,335990125,463426660.2,560553977.5,4122913.538,93493.15822,72931.74206
Hilton Head Island,SC,376,5,0,0,1,1,0,0,0,0,0,0,0,0,0
Mauldin--Simpsonville,SC,377,5,0,0,1,1,10549779.64,22698742.8,52335556.78,28087705.46,38740994.35,46860529.06,138668.1136,12125.32321,8562.742413
Rock Hill,SC,378,5,0,0,1,1,88153375.2,189669393.8,437312857.6,234699278.3,323717557.8,391563930.6,1240929.09,104398.2002,96613.6118
Spartanburg,SC,379,5,0,0,1,1,27404883.24,58963906.85,135950632.9,72962676.26,100636438,121728334.7,1123109.87,40092.4447,26886.65757
Sumter,SC,380,5,0,0,1,1,18794531.36,40438012.64,93236248.29,50038502.6,69017433.6,83482458.48,614019.2952,13923.79505,10861.61435
Myrtle Beach--Socastee,SC--NC,381,5,0,0,1,1,73242982.04,157588427,363345099.1,195001890.6,268963484.8,325334220.4,2392855.845,54261.54297,42328.11182
Rapid City,SD,382,4,0,0,1,1,20543700.58,44201495.84,101913553.8,54695484.37,75440745.92,91252001.29,981506.7129,19520.86108,27435.32891
Sioux Falls,SD,383,4,0,0,1,1,17621359.21,37913833.81,87416353.33,46915052.34,64709300.66,78271405.13,392725.2676,26709.73604,28292.27015
Cleveland,TN,384,6,0,0,1,1,26577742.28,57184242.81,131847334.3,70760498.09,97599003.26,118054298.9,85101.38325,12919.02324,23828.85541
Jackson,TN,385,6,0,0,1,1,32356874.2,69618530.1,160516554.3,86146840.87,118821178.9,143724326.1,103606.0446,15728.16853,29010.26237
Johnson City,TN,386,6,0,0,1,1,42586989.37,91629481.35,211266290.7,113383467.6,156388291.8,189164945.7,136362.6626,20700.86689,38182.2956
