OBJECTID,ID,NAME,ADDRESS,CITY,STATE,ZIP,TELEPHONE,COUNTRY,NAICS_CODE,NAICS_DESC,SOURCE,SOURCEDATE,VAL_METHOD,VAL_DATE,WEBSITE,YEAR,PEAK_MONTH,AVAIL_CAP,PLAN_OUT,UNPLAN_OUT,OTHER_OUT,TOTAL_CAP,PEAK_LOAD,MIN_LOAD,SHAPE__Area,SHAPE__Length
57,21554,SEMINOLE ELECTRIC COOPERATIVE,16313 NORTH DALE MABRY HIGHWAY,TAMPA,FL,33618,(813) 963-0994,USA,2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 860, EIA 861, TIGER/Line Shapefiles - U.S. Census",2017-08-28T00:00:00.000Z,OTHER,2018-06-04T00:00:00.000Z,https://www.seminole-electric.com/,2016,7,27713,663,662,556,3693,359,51,115999735746.861,6469173.89989085
58,24211,TUCSON ELECTRIC POWER COMPANY,88 EAST BROADWAY,TUCSON,AZ,85701,NOT AVAILABLE,USA,2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 860, EIA 861, TIGER/Line Shapefiles - U.S. Census",2017-08-28T00:00:00.000Z,OTHER,2018-06-04T00:00:00.000Z,http://www.uns.com/,2016,6,32082,3494,1936,0,42310,3200,1099,113139720108.07,2522335.90641723
59,25471,WESTERN AREA POWER ADMINISTRATION - DESERT SOUTHWEST REGION,P O BOX 6457,PHOENIX,AZ,85005,(602) 605-2525,USA,2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 860, EIA 861, TIGER/Line Shapefiles - U.S. Census",2017-08-28T00:00:00.000Z,OTHER,2018-06-04T00:00:00.000Z,https://www.wapa.gov/,2016,7,1032,375,0,0,3751,147,28,1033715720072.24,11167211.938133
60,28503,WESTERN AREA POWER ADMINISTRATION - ROCKY MOUNTAIN REGION,P O BOX 3700,LOVELAND,CO,80539,(970) 461-7200,USA,2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 860, EIA 861, TIGER/Line Shapefiles - U.S. Census",2017-08-28T00:00:00.000Z,OTHER,2018-06-04T00:00:00.000Z,https://www.wapa.gov/,2016,7,96398,10948,541,0,107887,4057,2001,1462801334444.81,12837815.482076
61,29304,SOUTHEASTERN POWER ADMINISTRATION,1166 ATHENS TECH RD,ELBERTON,GA,30635,(706) 213-3800,USA,2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 861",2017-11-09T00:00:00.000Z,OTHER,2018-06-04T00:00:00.000Z,https://www.energy.gov/sepa/southeastern-power-administration,NOT AVAILABLE,-999999,-999999,-999999,-999999,-999999,-999999,-999999,-999999,7701885245.86914,626286.335174402
62,55372,"NEW HARQUAHALA GENERATING COMPANY, LLC - HGBA",NOT AVAILABLE,NOT AVAILABLE,AZ,NOT AVAILABLE,NOT AVAILABLE,USA,2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 861",2017-08-28T00:00:00.000Z,OTHER,2018-06-04T00:00:00.000Z,NOT AVAILABLE,2016,1,0,0,0,0,0,0,0,6341042786.26953,329023.345919432
63,56090,"GRIFFITH ENERGY, LLC",6996 COLUMBIA GATEWAY DR STE 202,COLUMBIA,MD,21046,(888) 721-5707,USA,2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 861",2017-08-28T00:00:00.000Z,OTHER,2018-06-04T00:00:00.000Z,https://www.griffithenergyservices.com/,2016,1,0,0,0,0,0,0,0,1605572422.64453,241878.213332454
64,56365,"NATURENER POWER WATCH, LLC (GWA)",435 PACIFIC AVE SUITE 400,SAN FRANSISCO,CA,94133,(415) 217-5500,USA,2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 861",2017-11-09T00:00:00.000Z,OTHER,2018-06-04T00:00:00.000Z,http://www.naturener.us/,NOT AVAILABLE,-999999,-999999,-999999,-999999,-999999,-999999,-999999,-999999,20560054012.875,619795.128754571
65,56545,GRIDFORCE SOUTH,1331 LAMAR ST #560,HOUSTON,TX,77010,(713) 332-2902,USA,2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 861",2017-11-09T00:00:00.000Z,OTHER,2018-06-04T00:00:00.000Z,http://www.grid4ce.net/,NOT AVAILABLE,-999999,-999999,-999999,-999999,-999999,-999999,-999999,-999999,5390335167.20313,331235.487944608
66,56669,"MIDCONTINENT INDEPENDENT TRANSMISSION SYSTEM OPERATOR, INC..",720 WEST CITY CENTER DRIVE,CARMEL,IN,46032,(317) 249-5400,USA,2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 860, EIA 861, TIGER/Line Shapefiles - U.S. Census",2017-08-28T00:00:00.000Z,OTHER,2018-06-04T00:00:00.000Z,https://www.misoenergy.org/,2016,7,1452237,177831,227554,0,1890594,115510,50173,2718551194971.03,36254470.0218754
67,56812,"ARLINGTON VALLEY, LLC - AVBA",NOT AVAILABLE,NOT AVAILABLE,AZ,NOT AVAILABLE,NOT AVAILABLE,USA,2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 861",2017-08-28T00:00:00.000Z,OTHER,2018-06-04T00:00:00.000Z,NOT AVAILABLE,2016,1,0,0,0,0,0,0,0,11505001.390625,15996.364775367
68,58790,"GRIDFORCE ENERGY MANAGEMENT, LLC",1331 LAMAR ST #560,HOUSTON,TX,77010,(713) 332-2902,USA,2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 861",2017-08-28T00:00:00.000Z,OTHER,2018-06-04T00:00:00.000Z,http://www.grid4ce.net/,2016,1,0,0,0,0,0,0,0,2305228167.41406,243818.34722029
69,58791,"NATURENER WIND WATCH, LLC",435 PACIFIC AVE SUITE 400,SAN FRANSISCO,CA,94133,(415) 217-5500,USA,2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 861",2017-08-28T00:00:00.000Z,OTHER,2018-06-04T00:00:00.000Z,http://www.naturener.us/,2016,1,0,0,0,0,0,0,0,7411036347.92969,449202.551676935
70,59504,SOUTHWEST POWER POOL,201 WORTHEN DRIVE,LITTLE ROCK,AR,72223,(501) 614-3200,USA,2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 860, EIA 861, TIGER/Line Shapefiles - U.S. Census",2017-08-28T00:00:00.000Z,OTHER,2018-06-04T00:00:00.000Z,https://www.spp.org/,2016,7,683476,133447,126016,0,942939,50499,20051,2443066120855,18004394.864193
